time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/clip_range,train/approx_kl
93,761856,151,795.34,5040,449.04113666999996,5.2322773732244965,920,0.0003,1.946207880973816,0.8753291368484497,-19.103916501998903,-0.04135909736869507,1.1920846700668335,0.26932373046875,0.2,0.024465738
94,770048,151,795.88,5066,450.4278697199999,11.052710774540902,930,0.0003,3.857945203781128,0.8594712018966675,-19.129531234502792,-0.03765908449786366,1.1956347227096558,0.1911376953125,0.2,0.0152152255
95,778240,152,790.91,5093,449.09282815000006,7.060792498290539,940,0.0003,2.997232437133789,0.8623455166816711,-19.18548313379288,-0.03749005596910138,1.2017161846160889,0.245263671875,0.2,0.026370857
96,786432,153,780.85,5119,446.14208679999996,7.574229768663645,950,0.0003,2.6742608547210693,0.9131430387496948,-19.21670511364937,-0.03607234674273059,1.2024868726730347,0.2478759765625,0.2,0.021033749
97,794624,154,750.78,5155,429.6655613700001,12.461770282685757,960,0.0003,4.966242790222168,0.827121913433075,-19.234761273860933,-0.03750223080569413,1.2052570581436157,0.226708984375,0.2,0.020122694
98,802816,154,759.2,5180,435.17354504,10.687010595202446,970,0.0003,2.6856343746185303,0.853856086730957,-19.261463046073914,-0.03729544796879054,1.2082754373550415,0.2174072265625,0.2,0.019086644
99,811008,155,738.08,5205,424.3391629600001,5.732250114530325,980,0.0003,1.0297069549560547,0.653643012046814,-19.31492273211479,-0.03982965276154573,1.2148247957229614,0.35943603515625,0.2,0.040065847
100,819200,30,722.58,26966,415.81364886999995,7.651515612751245,990,0.0003,2.395228385925293,0.87110435962677,-19.367099153995515,-0.0354507815442048,1.2186294794082642,0.239501953125,0.2,0.018502377
101,827392,30,705.07,26980,406.57173748,9.879174712300301,1000,0.0003,5.470646858215332,0.8400107026100159,-19.417662543058395,-0.03596438787135412,1.2243292331695557,0.2426513671875,0.2,0.01920773
102,835584,30,722.91,26995,417.01759181,7.604319429397583,1010,0.0003,1.7775696516036987,0.8896378874778748,-19.435532581806182,-0.0360044686254696,1.224331259727478,0.31607666015625,0.2,0.02828312
103,843776,31,697.15,27010,404.2870389,8.367171537876128,1020,0.0003,2.3268373012542725,0.8001633882522583,-19.47023239135742,-0.037173711322975575,1.2311559915542603,0.2622314453125,0.2,0.02551958
104,851968,31,693.77,27024,402.47520659,14.058176553249359,1030,0.0003,4.73351526260376,0.8858766555786133,-19.51431703567505,-0.036336631231824866,1.2336033582687378,0.1888671875,0.2,0.01523588
105,860160,31,705.48,27045,409.87850560999993,10.159643992781639,1040,0.0003,3.243803024291992,0.8890911340713501,-19.55071035027504,-0.0390838420316868,1.2387688159942627,0.246728515625,0.2,0.020459294
106,868352,32,719.26,27069,419.50793873000003,9.577658004313708,1050,0.0003,3.0466320514678955,0.8525716662406921,-19.60096611380577,-0.03967891025604331,1.2437068223953247,0.26229248046875,0.2,0.024801385
107,876544,32,713.82,27093,418.21400536999994,8.191881343722343,1060,0.0003,2.5230791568756104,0.8768207430839539,-19.63679959177971,-0.038975846608082065,1.2466241121292114,0.276806640625,0.2,0.024360936
108,884736,32,734.24,27114,431.73752170000006,5.048161401227117,1070,0.0003,1.3473130464553833,0.8779375553131104,-19.689066344499587,-0.040821075925487095,1.252902626991272,0.341015625,0.2,0.034682676
109,892928,32,758.77,27136,447.36895224,6.164499725028873,1080,0.0003,1.6601771116256714,0.8906857967376709,-19.73337196111679,-0.03604959032672923,1.2557264566421509,0.35233154296875,0.2,0.034540042
110,901120,33,751.69,27158,443.84590651999997,2.0968332808464765,1090,0.0003,0.6543922424316406,0.25558042526245117,-19.78418192267418,-0.03888962490345875,1.263858675956726,0.5148681640625,0.2,0.06326318
111,909312,33,757.04,27184,448.71977882000004,8.624658764898777,1100,0.0003,2.345423698425293,0.8680615425109863,-19.81642317175865,-0.03172388923558174,1.2646815776824951,0.186669921875,0.2,0.013983278
112,917504,33,753.66,27210,447.43538731,6.389087924361229,1110,0.0003,9.341875076293945,0.8923506140708923,-19.839847362041475,-0.03276222071290249,1.2675787210464478,0.2369873046875,0.2,0.022140365
113,925696,33,755.73,27232,449.95680452,14.777907057106495,1120,0.0003,9.128839492797852,0.8943166136741638,-19.856187665462492,-0.03029927629249869,1.26984441280365,0.12750244140625,0.2,0.010325538
114,933888,34,770.38,27253,459.42864241999996,9.626064356416464,1130,0.0003,3.3359546661376953,0.8715808391571045,-19.88426352739334,-0.033457069606811274,1.2728934288024902,0.17752685546875,0.2,0.015342532
115,942080,34,733.99,27275,436.68076486999996,9.953595494478941,1140,0.0003,2.155734062194824,0.8456287980079651,-19.91010853052139,-0.03591536662861472,1.2754517793655396,0.18487548828125,0.2,0.016052425
116,950272,34,740.3,27299,439.41196852999997,10.63941115140915,1150,0.0003,8.352051734924316,0.902491569519043,-19.944967579841613,-0.036832310379395494,1.2796508073806763,0.1771240234375,0.2,0.015813123
117,958464,35,736.13,27321,436.22294030000006,6.002627635002137,1160,0.0003,1.1401753425598145,0.8920365571975708,-19.976635730266572,-0.038043632559129036,1.2820149660110474,0.256787109375,0.2,0.024721397
118,966656,35,691.68,27337,408.74171048999995,9.072284579277039,1170,0.0003,2.899914026260376,0.8825279474258423,-20.000237435102463,-0.03566868315829197,1.2852051258087158,0.2365234375,0.2,0.019795433
119,974848,35,717.67,27352,424.62656696000005,14.621794608235358,1180,0.0003,8.06558609008789,0.8867474794387817,-20.02265093922615,-0.03539155756661785,1.2879163026809692,0.178369140625,0.2,0.015165114
120,983040,35,705.25,27364,416.57187612,5.75567150041461,1190,0.0003,1.9320738315582275,0.824030876159668,-20.0904882311821,-0.03719881064753281,1.2965383529663086,0.28966064453125,0.2,0.026736613
121,991232,36,730.37,27376,431.43725517,6.5222516477108,1200,0.0003,2.507828950881958,0.8948001861572266,-20.15130802989006,-0.03721722356858663,1.300722599029541,0.3144775390625,0.2,0.02642531
122,999424,36,757.94,27388,449.63141414000006,6.300590143352747,1210,0.0003,3.41499662399292,0.8156927227973938,-20.175717121362688,-0.035103527953469896,1.3051437139511108,0.28973388671875,0.2,0.030637218
123,1007616,36,739.13,27401,438.2672255,5.4942422967404125,1220,0.0003,3.0984089374542236,0.8232365846633911,-20.22650307416916,-0.035908177013334354,1.3103734254837036,0.31402587890625,0.2,0.033155583
124,1015808,37,747.41,27413,445.09836628000005,9.480255420506001,1230,0.0003,5.638827323913574,0.8570507764816284,-20.27496994137764,-0.034271947444358374,1.3166759014129639,0.25020751953125,0.2,0.019077767
125,1024000,37,723.88,27426,432.85369853999987,14.115727961808442,1240,0.0003,2.6775946617126465,0.8585715293884277,-20.31386850476265,-0.03505944368152995,1.3203045129776,0.2146728515625,0.2,0.017603239
126,1032192,37,739.05,27438,443.83154951000006,16.184885235130785,1250,0.0003,8.358305931091309,0.8868333101272583,-20.34774903655052,-0.03656144844717346,1.3232344388961792,0.20208740234375,0.2,0.015460011
127,1040384,37,738.29,27450,444.16799639,3.219525603763759,1260,0.0003,1.697135329246521,0.808171808719635,-20.425762289762496,-0.025663134575006553,1.3306856155395508,0.555810546875,0.2,0.07535899
128,1048576,38,740.64,27462,447.12157893999995,6.994520564377308,1270,0.0003,2.4575698375701904,0.8829916715621948,-20.442970311641695,-0.030162187638325122,1.3342546224594116,0.19390869140625,0.2,0.016012698
129,1056768,38,750.98,27474,454.8613521000001,2.5187385473400354,1280,0.0003,1.0794751644134521,0.8369244933128357,-20.50687268972397,-0.03785376519044803,1.342467188835144,0.43314208984375,0.2,0.04759668
130,1064960,38,742.24,27486,450.01884316,6.590338523313403,1290,0.0003,2.5436742305755615,0.8623592853546143,-20.5475010573864,-0.03082504341218737,1.3460243940353394,0.19246826171875,0.2,0.016801791
131,1073152,39,714.58,27498,433.09364217,4.614123694598675,1300,0.0003,1.3082518577575684,0.870322048664093,-20.58958701491356,-0.03380013729693019,1.3507884740829468,0.21175537109375,0.2,0.019314714
132,1081344,39,705.77,27511,428.5607481300001,10.260735570639373,1310,0.0003,3.933535575866699,0.8669926524162292,-20.61944846510887,-0.029555576232087332,1.3536361455917358,0.1417724609375,0.2,0.011881268
133,1089536,39,676.93,27524,410.03523885000004,12.422043354064225,1320,0.0003,4.022498607635498,0.8890701532363892,-20.644886600971223,-0.03057730123637157,1.3563958406448364,0.13480224609375,0.2,0.012387734
134,1097728,39,687.45,27536,416.94915751,20.022121998667718,1330,0.0003,6.715824127197266,0.8879522681236267,-20.667553168535232,-0.03267424933364964,1.3592363595962524,0.15035400390625,0.2,0.012373075
