time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/value_loss,train/std
786432,774.54,96,433.18287562000006,2623,299,-19.131134766340256,1.0327503681182861,0.722917914390564,0.2,950,-0.03391060046560597,0.027351204,0.0003,0.25509033203125,5.752743244916201,1.196405053138733
794624,776.32,97,435.90295742,2636,301,-19.173934388160706,0.8678848147392273,0.6958646178245544,0.2,960,-0.04128964988303778,0.04600059,0.0003,0.397705078125,3.0557380646467207,1.199198842048645
802816,759.47,98,427.89386214,2649,302,-19.190613263845442,0.9729650020599365,0.8537293672561646,0.2,970,-0.038766881844640014,0.026469482,0.0003,0.2857421875,3.4010152775794267,1.200289011001587
811008,756.34,99,427.39543277999996,2662,304,-19.217707896232604,1.12627375125885,0.8356350660324097,0.2,980,-0.032931944634765384,0.017217431,0.0003,0.2115478515625,6.421061263233423,1.2043445110321045
819200,740.35,100,420.00867597,2675,306,-19.257323122024538,6.315204620361328,0.8814993500709534,0.2,990,-0.033526959911978335,0.01331762,0.0003,0.1666748046875,9.849062803387643,1.207997441291809
827392,751.47,101,427.12105175000005,2687,307,-19.284481924772262,3.7066218852996826,0.880033552646637,0.2,1000,-0.035422923869919035,0.015609187,0.0003,0.1799560546875,8.238156079500914,1.2108031511306763
835584,747.18,102,424.79042210999995,2700,309,-19.292627155780792,3.6897897720336914,0.8856574296951294,0.2,1010,-0.03851373133511515,0.017966613,0.0003,0.20028076171875,8.130200829356909,1.2100921869277954
843776,748.16,103,427.01721206999997,2713,310,-19.298744052648544,7.618700981140137,0.8871819972991943,0.2,1020,-0.0383301063971885,0.015079548,0.0003,0.17977294921875,13.76123673915863,1.2114368677139282
851968,728.78,104,416.96718428,2726,312,-19.342960119247437,3.703505277633667,0.8781664967536926,0.2,1030,-0.03825998260435881,0.019769937,0.0003,0.23380126953125,8.591963005065917,1.216907262802124
860160,706.36,105,405.2310879499999,2739,314,-19.367253202199937,4.779106616973877,0.8818271160125732,0.2,1040,-0.03744286738947267,0.019451436,0.0003,0.2287841796875,8.144385559111834,1.218919038772583
868352,716.55,106,412.21951206,2751,315,-19.39415403008461,1.311845064163208,0.9055662751197815,0.2,1050,-0.0383213422173867,0.026000716,0.0003,0.2903076171875,4.553916708752513,1.2216849327087402
876544,730.5,107,421.59046453,2764,317,-19.42865052819252,3.7982985973358154,0.8919147253036499,0.2,1060,-0.03760048992044176,0.024098262,0.0003,0.27481689453125,6.142427789419889,1.226783037185669
884736,738.96,108,428.28670242,2777,318,-19.505352586507797,2.6702709197998047,0.8727043867111206,0.2,1070,-0.03904654796788236,0.02538205,0.0003,0.28538818359375,8.604664307832717,1.2355388402938843
892928,765.93,109,445.09608111999995,2790,319,-19.564442908763887,5.654436111450195,0.8807149529457092,0.2,1080,-0.03686088182585081,0.019241247,0.0003,0.2244384765625,9.871939761936664,1.2408922910690308
901120,773.65,110,452.72148006000003,2803,321,-19.62079398036003,1.2743234634399414,0.7657113671302795,0.2,1090,-0.03579263530118624,0.035047986,0.0003,0.3565185546875,4.736642149463296,1.2470248937606812
909312,750.49,111,440.40875103999997,2815,322,-19.689418202638628,0.37113696336746216,0.4273373484611511,0.2,1100,-0.03503669240963063,0.07255736,0.0003,0.54537353515625,1.9258030522614717,1.2554280757904053
917504,752.09,112,442.83981924,2828,324,-19.726574635505678,6.276552677154541,0.8637531995773315,0.2,1110,-0.02539455581572838,0.011296961,0.0003,0.17867431640625,10.953618437051773,1.2567659616470337
925696,719.77,113,424.45235101000003,2841,325,-19.755334252119063,3.461907148361206,0.8861302733421326,0.2,1120,-0.0335090772001422,0.012672426,0.0003,0.1535888671875,7.816028381884098,1.2594072818756104
933888,722.52,114,427.09313647999994,2854,327,-19.77025389075279,5.361644744873047,0.8529350757598877,0.2,1130,-0.030052681383676828,0.011343043,0.0003,0.1208984375,13.999641634523869,1.261765718460083
942080,720.6,115,426.11418668,2867,328,-19.798921948671342,2.6482090950012207,0.8662885427474976,0.2,1140,-0.035882360599498495,0.020986825,0.0003,0.232421875,6.05135126747191,1.264138102531433
950272,705.11,116,417.27582725,2880,329,-19.81922554373741,4.768035888671875,0.789951741695404,0.2,1150,-0.031429351462065824,0.012275767,0.0003,0.14554443359375,13.882766290009021,1.2664588689804077
958464,713.51,117,422.6286293399999,2893,331,-19.845064306259154,3.1676278114318848,0.9030110239982605,0.2,1160,-0.03607380164830829,0.014777947,0.0003,0.18126220703125,11.334084874391555,1.2693485021591187
966656,695.45,118,412.42870595,2957,326,-19.854999554157256,1.8141191005706787,0.8689672946929932,0.2,1170,-0.03759039632641361,0.01946358,0.0003,0.21826171875,7.581645254790783,1.2699636220932007
974848,705.27,119,418.49557359,2971,328,-19.895177173614503,2.638791084289551,0.8677768111228943,0.2,1180,-0.03570462611169205,0.019613083,0.0003,0.23177490234375,10.126124186813831,1.274537205696106
983040,717.45,120,426.4227269599999,2994,328,-19.93009465932846,0.9448574781417847,0.8993008732795715,0.2,1190,-0.035992969109429396,0.02554391,0.0003,0.30953369140625,4.518741725385189,1.277823567390442
991232,720.44,121,428.75649236999993,3017,328,-19.960310840606688,4.811025619506836,0.8769652247428894,0.2,1200,-0.03502146609971533,0.017729245,0.0003,0.213720703125,11.212348677963018,1.2816784381866455
999424,753.72,122,449.55614841000005,3040,328,-20.004788142442703,2.2087512016296387,0.823337733745575,0.2,1210,-0.03610570983000798,0.019885285,0.0003,0.24346923828125,10.708832916617393,1.286515712738037
1007616,732.35,123,435.99390409000006,3062,329,-20.036553728580476,5.420775413513184,0.8595542907714844,0.2,1220,-0.03621421133138938,0.019632813,0.0003,0.2398193359375,9.79876118004322,1.2897334098815918
1015808,729.61,124,434.95214820999996,3083,329,-20.064828222990037,2.7249090671539307,0.8685774207115173,0.2,1230,-0.03973760713488446,0.021707514,0.0003,0.23564453125,10.931310074031353,1.2924302816390991
1024000,761.83,125,454.92361202,3105,329,-20.085904151201248,3.1084706783294678,0.8698840141296387,0.2,1240,-0.03863710262376117,0.025599787,0.0003,0.29742431640625,9.128081972897053,1.2953048944473267
1032192,751.65,126,449.1978524600001,3126,330,-20.139382523298263,2.9916491508483887,0.8540665507316589,0.2,1250,-0.03365406053853803,0.023050131,0.0003,0.24351806640625,8.765292151272297,1.3008822202682495
1040384,759.01,127,453.9176381400001,3155,329,-20.16579995751381,2.638587713241577,0.8821930885314941,0.2,1260,-0.0400513399974443,0.021307286,0.0003,0.24344482421875,10.172547591477633,1.3034169673919678
