rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/policy_gradient_loss,train/loss,train/clip_range,train/std,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/approx_kl
720.65,379.07484935,696320,2404,289,85,0.18883056640625,-0.03414822509948863,2.981734037399292,0.2,1.1675267219543457,0.0003,7.930635173618794,840,-18.855549895763396,0.8600720763206482,0.018454518
732.88,387.24953496,704512,2427,290,86,0.28232421875,-0.04053532703401288,0.9245786666870117,0.2,1.1694598197937012,0.0003,3.9608433831483127,850,-18.880449253320695,0.8619771003723145,0.026804412
747.55,397.73890622000005,712704,2452,290,87,0.32877197265625,-0.03872617096785689,1.116105556488037,0.2,1.1738252639770508,0.0003,3.2307513404637573,860,-18.93032386302948,0.7982496619224548,0.0323058
750.51,400.80447884,720896,2477,290,88,0.19959716796875,-0.033193004709028175,2.1160776615142822,0.2,1.1764100790023804,0.0003,6.657064331322909,870,-18.96019814014435,0.867229163646698,0.016462594
744.76,398.94029407,729088,2501,291,89,0.20601806640625,-0.03574437594943447,1.4544278383255005,0.2,1.1790049076080322,0.0003,7.320346877723932,880,-18.983780765533446,0.8822410702705383,0.017288085
750.02,403.41202630000015,737280,2525,291,90,0.204052734375,-0.03255250078218523,2.4565958976745605,0.2,1.1815863847732544,0.0003,9.105282443761826,890,-19.007872813940047,0.8386079668998718,0.016777992
749.14,403.84277968999993,745472,2549,292,91,0.32119140625,-0.03564799723753822,0.8373829126358032,0.2,1.1862196922302246,0.0003,4.514196127653122,900,-19.048035591840744,0.7288581728935242,0.03572886
776.85,420.50772175,753664,2572,292,92,0.31005859375,-0.040198707558010936,1.2021983861923218,0.2,1.1906174421310425,0.0003,3.589690316095948,910,-19.08200134038925,0.7995237112045288,0.029735744
811.03,440.9404126300001,761856,2596,293,93,0.23333740234375,-0.035423080594046044,1.8473472595214844,0.2,1.1935712099075317,0.0003,4.855223920941353,920,-19.12949973344803,0.8795010447502136,0.019186832
815.19,446.17753602,770048,2620,293,94,0.34940185546875,-0.03918983459443552,1.3299275636672974,0.2,1.1979973316192627,0.0003,3.9233505088835954,930,-19.169096899032592,0.7608917951583862,0.034448206
809.97,444.36186123,778240,2643,294,95,0.2317138671875,-0.03466274134116247,2.297098159790039,0.2,1.2012478113174438,0.0003,5.458092588186264,940,-19.209911131858824,0.7700466513633728,0.021076247
791.17,434.73495644,786432,2667,294,96,0.2163330078125,-0.036221572296926755,3.499520778656006,0.2,1.204755425453186,0.0003,6.400178633630276,950,-19.233879947662352,0.8820552825927734,0.01918045
801.02,441.0334278100001,794624,2692,295,97,0.15665283203125,-0.03420012447968475,2.6771271228790283,0.2,1.2067153453826904,0.0003,10.397291627526283,960,-19.258282053470612,0.8596683740615845,0.013260823
806.34,445.13329998,802816,2717,295,98,0.22183837890625,-0.04032380464414018,2.9527175426483154,0.2,1.211310625076294,0.0003,6.331860429048538,970,-19.29505387544632,0.8815610408782959,0.019616004
792.85,439.62367826999997,811008,2740,295,99,0.33228759765625,-0.03578533201216487,1.6656414270401,0.2,1.2153817415237427,0.0003,3.965779275819659,980,-19.35363194346428,0.8838987946510315,0.03448262
780.11,434.32541849,819200,2763,296,100,0.18275146484375,-0.033438536924950316,2.8800227642059326,0.2,1.2178508043289185,0.0003,9.278975696861744,990,-19.365788066387175,0.8948026895523071,0.014427679
768.48,429.89203779,827392,2788,296,101,0.21451416015625,-0.03850324055601959,3.4485793113708496,0.2,1.218516230583191,0.0003,9.443669429421425,1000,-19.38163017630577,0.8368788361549377,0.019533072
767.89,431.1423795099999,835584,2810,297,102,0.2271728515625,-0.03870857533329399,4.842118263244629,0.2,1.220326542854309,0.0003,8.56382595449686,1010,-19.3962399661541,0.9121400713920593,0.019007111
776.62,437.16465490999997,843776,2832,297,103,0.38270263671875,-0.0401555167423794,0.7591502666473389,0.2,1.2237491607666016,0.0003,3.7980938043445347,1020,-19.430225855112077,0.8790863752365112,0.043667752
790.34,446.25370751,851968,2855,298,104,0.51297607421875,-0.04915544129908085,0.38094577193260193,0.2,1.2328448295593262,0.0003,1.3995230307802558,1030,-19.51397275328636,0.19093185663223267,0.059457682
786.18,446.0790281299999,860160,2877,298,105,0.36494140625,-0.03501910589329782,0.6172683835029602,0.2,1.2383373975753784,0.0003,2.27820947766304,1040,-19.554760658740996,0.7851200103759766,0.035235036
805.41,459.00341216999993,868352,2899,299,106,0.15308837890625,-0.025675243060686626,1.1145786046981812,0.2,1.241411805152893,0.0003,4.205338739603758,1050,-19.590624344348907,0.8519077301025391,0.013306595
806.37,461.61884681,876544,2920,300,107,0.1966064453125,-0.03125487450597575,0.6218446493148804,0.2,1.2465342283248901,0.0003,3.4466356094926596,1060,-19.630934554338456,0.8567837476730347,0.017394446
801.97,461.19145505,884736,2941,300,108,0.1580810546875,-0.028844483919237975,2.604358196258545,0.2,1.250022530555725,0.0003,4.915813675150275,1070,-19.673012369871138,0.8552263975143433,0.013144834
790.42,455.96686078999994,892928,2966,301,109,0.18504638671875,-0.03254910985560855,1.865837812423706,0.2,1.2501057386398315,0.0003,5.35484699010849,1080,-19.686021691560747,0.8773939609527588,0.016249511
792.9,459.4125328100001,901120,2991,301,110,0.12454833984375,-0.027303347388806288,3.7349236011505127,0.2,1.2531867027282715,0.0003,11.511392774432897,1090,-19.700750368833543,0.8511708974838257,0.010378372
792.32,460.32974282000004,909312,3017,301,111,0.16427001953125,-0.03167129931534873,4.542979717254639,0.2,1.2532557249069214,0.0003,8.819405007362366,1100,-19.719265818595886,0.8287950158119202,0.014616073
773.46,450.10171467999993,917504,3040,301,112,0.1337890625,-0.031439671757107136,3.428626775741577,0.2,1.2573432922363281,0.0003,14.085764595866204,1110,-19.739226400852203,0.8765606880187988,0.01122798
764.58,445.59425652000004,925696,3064,302,113,0.23577880859375,-0.036454743532522114,2.0207672119140625,0.2,1.2589139938354492,0.0003,7.030937752872705,1120,-19.770938336849213,0.9010498523712158,0.022593532
743.26,433.25473953000005,933888,3088,302,114,0.3032958984375,-0.03625124571335618,0.9660544395446777,0.2,1.2643582820892334,0.0003,4.571907912194729,1130,-19.800621473789214,0.7005311250686646,0.033359386
731.39,427.55958681000004,942080,3109,302,115,0.20274658203125,-0.03592169322146219,3.200739860534668,0.2,1.268326997756958,0.0003,9.794205158948898,1140,-19.8479634642601,0.8897706270217896,0.015364037
728.16,425.72883095,950272,3132,303,116,0.1896728515625,-0.03260556777822785,2.9160449504852295,0.2,1.2709380388259888,0.0003,8.995410508662463,1150,-19.876902836561204,0.8615714311599731,0.015349549
737.32,431.47822776,958464,3154,303,117,0.238525390625,-0.03272455265614553,2.099958896636963,0.2,1.276451587677002,0.0003,6.898187669366598,1160,-19.917296987771987,0.735506534576416,0.021697715
757.19,443.61859218000006,966656,3177,304,118,0.3550048828125,-0.03255979467285215,1.4017452001571655,0.2,1.2805689573287964,0.0003,5.930299520492554,1170,-19.97028852701187,0.7809315323829651,0.035157442
768.43,451.36393117999995,974848,3200,304,119,0.32119140625,-0.03271388605862739,0.9346052408218384,0.2,1.2825478315353394,0.0003,5.091537830606103,1180,-19.99541606903076,0.8489067554473877,0.032076985
798.54,469.90670903000006,983040,3224,304,120,0.2271484375,-0.03556094393134117,2.3156681060791016,0.2,1.287174940109253,0.0003,4.856033485382795,1190,-20.022280985116957,0.898474931716919,0.020546116
802.87,472.88373268000004,991232,3247,305,121,0.44722900390625,-0.04107043594995048,0.36631691455841064,0.2,1.292226791381836,0.0003,2.287494967132807,1200,-20.072492086887358,0.3730561137199402,0.051447794
801.4,472.99043551,999424,3269,305,122,0.205615234375,-0.032709475522278805,2.028393507003784,0.2,1.2934750318527222,0.0003,6.100697073340416,1210,-20.08993250131607,0.8438984155654907,0.0161661
789.59,466.30400414999997,1007616,3291,306,123,0.19366455078125,-0.034268070450343656,2.9198808670043945,0.2,1.2948094606399536,0.0003,7.933642655611038,1220,-20.103915321826936,0.8744800090789795,0.018706344
815.27,483.59868969,1015808,3315,306,124,0.17841796875,-0.033040831239486576,2.8742151260375977,0.2,1.2970679998397827,0.0003,10.54727146551013,1230,-20.123303562402725,0.8660175800323486,0.014583325
811.97,482.3883202599999,1024000,3342,306,125,0.4097412109375,-0.03805354168143822,1.527914047241211,0.2,1.3032912015914917,0.0003,3.018399960361421,1240,-20.16688229441643,0.8628412485122681,0.04184962
821.06,489.73519001,1032192,3366,306,126,0.1945556640625,-0.02966800215508556,4.442846298217773,0.2,1.3039588928222656,0.0003,9.777994611859322,1250,-20.192329108715057,0.8154782056808472,0.014353213
827.56,494.5672694100001,1040384,3386,307,127,0.53560791015625,-0.050252932246075945,0.3409278988838196,0.2,1.3088088035583496,0.0003,1.2504289716482162,1260,-20.232877588272096,0.22943556308746338,0.06435465
