time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range
991232,6369,121,814.72,483.66882491,155,1.3100486993789673,1200,2.4117226600646973,-0.033630812973569846,-20.246359741687776,0.18985595703125,0.0003,5.509269654005766,0.017572265,0.8410152792930603,0.2
999424,6402,122,784.36,465.92387044,156,1.3130942583084106,1210,2.2583024501800537,-0.03161589630472008,-20.271820461750032,0.15628662109375,0.0003,8.603648666292429,0.0136502255,0.8581893444061279,0.2
1007616,6451,123,770.71,458.38344156000005,156,1.3181798458099365,1220,7.236435413360596,-0.03228949098629528,-20.30973424911499,0.16063232421875,0.0003,12.113573212921619,0.013013211,0.8729226589202881,0.2
1015808,6544,124,773.63,461.91527292,155,1.3221310377120972,1230,6.17997932434082,-0.03506835143998614,-20.348265504837038,0.17021484375,0.0003,10.960408797860145,0.014056345,0.8783055543899536,0.2
1024000,6587,125,741.75,442.71034081000005,155,1.3243237733840942,1240,4.031813621520996,-0.03690630921191769,-20.373002409934998,0.24320068359375,0.0003,8.575814536213874,0.021135839,0.8603078126907349,0.2
1032192,6639,126,733.41,437.81227937999995,155,1.3276700973510742,1250,3.1425540447235107,-0.033464482408453476,-20.401894468069077,0.204638671875,0.0003,11.40309667736292,0.016864184,0.8064096570014954,0.2
1040384,6693,127,711.23,423.41012286,155,1.3349285125732422,1260,1.5376265048980713,-0.037978633860620906,-20.4596237719059,0.26329345703125,0.0003,7.96614840850234,0.02358299,0.875643253326416,0.2
1048576,6749,128,732.99,437.06081978,155,1.339708685874939,1270,5.756669044494629,-0.03518131056189304,-20.51243999004364,0.1977783203125,0.0003,14.488993141055108,0.018038683,0.857993483543396,0.2
1056768,6799,129,726.94,433.06677382999993,155,1.3443470001220703,1280,1.395494818687439,-0.0358111980400281,-20.55762301683426,0.38826904296875,0.0003,5.284705901518464,0.038235262,0.7659143209457397,0.2
1064960,6850,130,740.23,441.15922183999993,155,1.3470368385314941,1290,1.0856949090957642,-0.03777452801004984,-20.588234341144563,0.27884521484375,0.0003,5.675941590964794,0.026350439,0.8941546082496643,0.2
1073152,6892,131,769.56,460.11345395999996,155,1.3514217138290405,1300,1.9040930271148682,-0.034297402900119775,-20.61436108350754,0.26871337890625,0.0003,7.693519566580653,0.023790114,0.8303874135017395,0.2
1081344,6951,132,768.44,459.8989558999999,155,1.3592332601547241,1310,0.6370522379875183,-0.03446957791747991,-20.669879657030105,0.383544921875,0.0003,3.4966047916561367,0.04111407,0.8582739233970642,0.2
1089536,6993,133,782.02,468.36495126,155,1.3632845878601074,1320,2.247978448867798,-0.035248040899750775,-20.717644238471983,0.22989501953125,0.0003,5.558260414749384,0.020443099,0.8448862433433533,0.2
1097728,7046,134,800.84,480.10844060999995,155,1.366443157196045,1330,1.9251168966293335,-0.03356071427770076,-20.755611854791642,0.27999267578125,0.0003,6.596222099661827,0.024995644,0.8406373858451843,0.2
